עגווניה ,🍅
&quot;אני חושב שעשיתי את זה בעונה החמישית של הפרלמנטום&quot; אני בתגובה:&quot;אתה לא היית בעונה ה5 של הפרלמנטום&quot; ,😂
אבל עשיתי סאב ,🤣
מה פה קשור לגימיינג?,🤨
אפשר בבקשה בבקשה את הסיפור המלה של פורטנייטנ״ב בבקשה בבקשה בבקשה,🙏
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,🙏🏻
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,😁
איך המשימות קשורות למשהו בגיימינג?ושיבולת בשני אני לא צופה,🤦‍♀️
היי שיבולת אתה הכי גיימר שיש ואין לך מתחרה,👑
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,🙏🏻
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,😁
יש לך שם יפה ,😅
אבל כול חברי הפרלמנטום יודעים שאתה איש הפנס? !חיב להפנת אותםם חחח,😅
מי רואה את זה אחרי ליברפול הפסידה?!,😓
UwU צופה בך קרוב ל4 שנים תמשיך כך,👍🏼
למה יש לך בית חציר,😒
למה יש לך בית חציר,🙄
&quot;זה לא אתי זה רבקה&quot;,✨
אחלה סירטון,👍
לייק ראשון תשובה ראשונה צופה ראשונה,🤩
דוד ניצח כי אין לו מתחרה!!!!!!!!!!!!!!!!,👑
26 זה טט-ריס מה לא ברור איך הם לא יודעים ,😡
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,🙏🏻
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,😁
אני ניצחתי אבל שיבולת ניצח אותי ,👑
אני ניצחתי אבל שיבולת ניצח אותי ,☹
צילצלתי לא עבד,🤣
צדקתי בכמעט הכל ודוד טובוף ניצח,😅
אבל אתה צריך להגיע לעולם 10,😑
אוהב אותך שיבולת אתה מלך המלכים,❤
אתה לא כזה טוב,😂
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,🙏🏻
תרשום את המשחק הזהNEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,😁
אתה יכולת לעשות משימות ולקבל יותר  אחלה סרטון ,💸
אתה יכולת לעשות משימות ולקבל יותר  אחלה סרטון ,👍
אם תזרוק שיקוי התזה של בילתי נראה על שולקר (מוב) תופתע לראות מה קורה וזה ממש מגניבבבבבב אני מקווה שאתה לא מכיר את זהאם אתה לא מכיר תראה את התגובה ותנסה בסרטון בבקשה!!!!!!תודה שיבולת מלך השיבולים,👑
אם תזרוק שיקוי התזה של בילתי נראה על שולקר (מוב) תופתע לראות מה קורה וזה ממש מגניבבבבבב אני מקווה שאתה לא מכיר את זהאם אתה לא מכיר תראה את התגובה ותנסה בסרטון בבקשה!!!!!!תודה שיבולת מלך השיבולים,😎
אם תזרוק שיקוי התזה של בילתי נראה על שולקר (מוב) תופתע לראות מה קורה וזה ממש מגניבבבבבב אני מקווה שאתה לא מכיר את זהאם אתה לא מכיר תראה את התגובה ותנסה בסרטון בבקשה!!!!!!תודה שיבולת מלך השיבולים,🌾
אם תזרוק שיקוי התזה של בילתי נראה על שולקר (מוב) תופתע לראות מה קורה וזה ממש מגניבבבבבב אני מקווה שאתה לא מכיר את זהאם אתה לא מכיר תראה את התגובה ותנסה בסרטון בבקשה!!!!!!תודה שיבולת מלך השיבולים,😍
קוראים לך שי חשבתי שקוראים לך מר שיבולת באמת,🤭
הכול בשביל ארי,😭
אני אוהב אותכה מקריטה F בישביל מקריטיה,😢
אני אוהב אותכה מקריטה F בישביל מקריטיה,😭
 f rip ארי,❤
 מי רגה אצוב אפחתה לרגה מצחיק,🤣
F אני עצובה על מה שה קרה לארי,😭
ילדה: &quot;אני טעות&quot; אמא: ,😳
תודה רבה על הסרטון אני באמת צופה בזה בפעם השנייהוזה תמיד מרגש מחדש ואני תמיד מתחברת לזה אשמח אם תעשהעוד תוכן כזה,🙂
אוריה משקרת אני חושבת שהיא ממש יפה ,😂
גם אני אוהב ללכת לקנות בגדים יש,☹️
הו גאד,⬅
הו גאד,🌾
הו גאד,🗄
איך זה שהחרדית היא זאת שיש לה אמא רעה?,🤨
אהבתי את האוזניות ,😜
וואו אוריה איזה יפה את,😅
תודה שאתה מנצל את הכוח שלך ביוטיוב לטובה אני מאמין שרוב הצופים שלך הם בני נוער שאצל חלקם הנראות זאת הבעיה שהכי מטרידה אותם בחיים ואני חושב שכמה משפטים שלך כאן יכולים לשנות אצלם משהו בתפיסה לא חיפשת להיות &quot;פוליטיקלי קורקט&quot; אלא אמרת את האמת שלך בנושא כל כך שנוי במחלוקת וזה הכי חשוב ילדים יודעים לזהות אמירות שהן זיוף ושנאמרות רק כדי שירגישו טוב עם עצמם כמו שעושים בבית ספר ואתה לא נפלת לזה בקיצור סרטון מעולה ומקווה שתעשה עוד כאלה,🌾
אני הרבה יותר מהיר ממך,😂
אתה יכול לשחק במשחק ברובלוקס בשם פט סימולטור זה משחק של חיות ,🥰
היי מה הקיבולת אני דניאל אני בת שבע אני כזאתי מעריצה שלך ואולי אתה יכול לפתוח עמוד של תוכנו של רובלוקס כי זה מה זה מיוחד רובלוקס ואני רוצה שגם אם יש לך רובקס ותעשה דמויות וגם לשחק במשחקים חדשים אני יכולה להגיד לך שאם אתה רוצה לבקר אותי המספר אני מגרה במימון 18 זה בחיפה זה לא ארוך כאילו זה מה שיש לי להגיד לך אוקיי וככה אני יכולה גם להראות לך את שם המשתמש תודה ומה שבולט אוהבת אותך,💕
היי מה הקיבולת אני דניאל אני בת שבע אני כזאתי מעריצה שלך ואולי אתה יכול לפתוח עמוד של תוכנו של רובלוקס כי זה מה זה מיוחד רובלוקס ואני רוצה שגם אם יש לך רובקס ותעשה דמויות וגם לשחק במשחקים חדשים אני יכולה להגיד לך שאם אתה רוצה לבקר אותי המספר אני מגרה במימון 18 זה בחיפה זה לא ארוך כאילו זה מה שיש לי להגיד לך אוקיי וככה אני יכולה גם להראות לך את שם המשתמש תודה ומה שבולט אוהבת אותך,💗
היי מה הקיבולת אני דניאל אני בת שבע אני כזאתי מעריצה שלך ואולי אתה יכול לפתוח עמוד של תוכנו של רובלוקס כי זה מה זה מיוחד רובלוקס ואני רוצה שגם אם יש לך רובקס ותעשה דמויות וגם לשחק במשחקים חדשים אני יכולה להגיד לך שאם אתה רוצה לבקר אותי המספר אני מגרה במימון 18 זה בחיפה זה לא ארוך כאילו זה מה שיש לי להגיד לך אוקיי וככה אני יכולה גם להראות לך את שם המשתמש תודה ומה שבולט אוהבת אותך,💞
אתה היוטיובר הכי טוב שאני מקיר,🤑
זה שקר,😡
תקרה לסדרה טריקים וטיפים טובים בטרוף או בקיצור טטטט מזכיר לך משהו,😉
תקרה לסדרה טריקים וטיפים טובים בטרוף או בקיצור טטטט מזכיר לך משהו,🙃
ממש אוהב את התוכן שלך ותוכל לעשות את הפרק הבא עם ערים?,👍
בקשה תשחק PIXELMON,👏
אחיתה אחד ארגתה מאה ,😂
אני מת עליךבבקשה תעשה לי לב!,🥰
אני מת עליךבבקשה תעשה לי לב!,😍
אני מת עליךבבקשה תעשה לי לב!,🤩
סרטון מעולה ממש אהבתי,😍
יששששש דינוזאורים שולטים!,🦕
יששששש דינוזאורים שולטים!,🦖
אם עשית את זה אני מציע לך ( מר שיבולת ) לשחק PixARK זה כמו ARK רק בפיקסלים וזה ממש טוב וכיף!,😀
אחלה סרטון,👍
אני יתחיל לצפות בכול סירטי פיקסל בשביל תאוריות כאלה תודה שהרסתה לי את הילדות(; בימיוחד בתאוריה האחרונהמעריך,🤢
אני יתחיל לצפות בכול סירטי פיקסל בשביל תאוריות כאלה תודה שהרסתה לי את הילדות(; בימיוחד בתאוריה האחרונהמעריך,😊
כל מי שנשאר עד הסוף שיכתוב אני,🙂
זה כל כך עצוב ,😭
הרסתה לי את הילדות ואני בילדות,😅
הסרט האהוב עליי של פיקסאר הוא רטטוי,🥁
סרטון טוב תמשיך לעשות עוד סרטונים כאלה,🦊
סרטון טוב תמשיך לעשות עוד סרטונים כאלה,😸
לי אין שום סרט אהוב ,🍿
לי אין שום סרט אהוב ,💝
לי אין שום סרט אהוב ,🎬
לי אין שום סרט אהוב ,📽️
לי אין שום סרט אהוב ,🎥
או מיי גד ,😱
פשוט תקרא לסדרה טיפים למיינקראפט,☠️
פשוט תקרא לסדרה טיפים למיינקראפט,💀
החתולים זה עובד גם בגאווה החתול בשרת שלי תפס לחבר שלי את המיטה כי הוא ישן שם,😆
שם לסדרה: האם זה אמיתיוחולה על הסדרה הזאת,😃
שם לסדרה: האם זה אמיתיוחולה על הסדרה הזאת,🤔
אני באתגר תעשו לייק!!!,👇🏼
נוטלה לא קיימת ,❤️
סירטון מטורף תמשיך כך,✔
סירטון מטורף תמשיך כך,😁
&quot;תלחצו על אחד תלחצו על שני ואז פום פום פום&quot;,😂
היי תקשיב אני סאב שלך אני עושה לייקים לכל הסרטונים כמעט תקשיב ראית את אחותי לפני שבועיים אוכלת לחם אז רציתי להגיד שלפני שאתה תובע את טיטו בפרלה משפט תתבע גם את אחותי ותביא גם תה שיהיו עדים,😮
אוד פרק של אווטאר ,😜
אוד פרק של אווטאר ,😀
אוד פרק של אווטאר ,😁
למה התגובה הזאת לא מוצמדת? ותכו את הלייק והסאב בשביל מר שיבולת ומצה עם שוקולד נוטלה הכי טעים,😋
אדום,🐯
הצבע האהוב עליי הוא חתול כחול,🦕
הצבע האהוב עליי הוא חתול כחול,🐱
אם אתה חושב כמוני תסמן ב כמה זמן יכח לדרים לסיים את העדכון הזה ( לדעתי משהו כמו 4 שעות או יותר ),❤
הצבע האהוב עליי הוא שחור מתה עלך אתה מלך (מלך המיינקרפט)  יש לי שאלה אם אתה יכול לענות לי אני ישמח אתה יכול לנסות לישרוד ברמה הכי קשה שיש ?,☺️
כתום ,🎃
שי מתי אתה תמשיך את סדרת המיינקראפט שלך עם בכלל כי ממש ממש אהבתי אותה,👍
תאסה פנאף ;12345678910,🥺
תאסה פנאף ;12345678910,🙏
אהבתי מאוד אחלה משחק מקווה שהיה חלק שני  ,😎
אהבתי מאוד אחלה משחק מקווה שהיה חלק שני  ,👍🏻
אהבתי מאוד אחלה משחק מקווה שהיה חלק שני  ,🥳
אהבתי מאוד אחלה משחק מקווה שהיה חלק שני  ,🥸
אני ממש אוהב אותך אתה אחד היוטיוברים היחידים שמעלים באופן ממש ממש מהיר וגם ליפעמים ערוך תמשיך ככה!!!,😁
תעסה עוד פרק של אווטאר בבקשה ,🙏
תעסה עוד פרק של אווטאר בבקשה ,👍
שי מתי אתה תמשיך את סדרת המיינקראפט שלך עם בכלל כי ממש ממש אהבתי אותה,👍
אתה הורג שיבולים בשביל XP???!!! ******,🤐
אתה הורג שיבולים בשביל XP???!!! ******,😶
אתה הורג שיבולים בשביל XP???!!! ******,😲
אתה הורג שיבולים בשביל XP???!!! ******,😤
אתה מלך !!!!,👑
תעשה עוד פרק של אווטאר בבקשה,🙏
תעשה עוד פרק של אווטאר בבקשה,🙏
שי מתי אתה תמשיך את סדרת המיינקראפט שלך עם בכלל כי ממש ממש אהבתי אותה,👍
לא צריך להרביץ לייק אפשר גם ללטף אותו  זה גם לוחץ עליו ,😝
לא צריך להרביץ לייק אפשר גם ללטף אותו  זה גם לוחץ עליו ,😂
לא צריך להרביץ לייק אפשר גם ללטף אותו  זה גם לוחץ עליו ,🥰
מה השם שלה גירסה? ╰(*°▽°*)╯,😍
אז ערים לא הרג אותך ,😅
אתה אילתה ב1 בלילה בנקום ב1 בצהורים,😵
